user_id,customer_age,city,distance_km,fare_amount,total_surge_multiplier,lifetime_rides,customer_rating,avg_driver_rating,cancellation_rate,payment_type,loyalty_score,churn,customer_rating_missing
100001,70.0,Delhi,5.18,124.17,1.0,2.0794415416798357,5.0,4.0,0.161,Cash,6.52,0,0
100002,46.0,Pune,14.83,282.05,1.2,1.6094379124341003,4.0,4.5,0.188,credit_card,4.81,1,0
100003,49.0,Hyderabad,4.98,271.32,3.2,3.970291913552122,4.0,4.0,0.16,cash,9.2,0,0
100004,44.0,Mumbai,8.65,348.38,2.2,2.639057329615259,5.0,4.5,0.166,Credit Card,7.03,0,0
100005,46.0,Bengaluru,31.52,743.635,1.8,3.784189633918261,3.0,4.8,0.184,credit_card,6.92,0,0
100006,43.0,Mumbai,8.32,253.93,1.5,2.0794415416798357,3.0,4.0,0.072,credit_card,5.53,0,0
100007,28.0,Hyderabad,2.49,60.0,1.0,3.044522437723423,5.0,4.0,0.041,Credit Card,8.63,0,0
100008,45.0,Delhi,21.28,366.22,1.0,1.9459101490553132,5.0,3.5,0.221,Credit Card,4.47,0,0
100009,19.0,Pune,8.44,478.99,3.2,3.1354942159291497,5.0,4.8,0.23,Cash,7.71,0,0
100010,47.0,Delhi,2.78,110.78,1.0,3.091042453358316,4.0,4.2,0.329,Credit Card,5.88,0,0
100011,44.0,Delhi,10.87,349.13,1.8,2.302585092994046,4.0,4.0,0.266,Credit Card,3.6,1,1
100012,31.0,Mumbai,2.75,104.74,1.0,4.454347296253507,5.0,4.8,0.092,Credit Card,9.96,0,0
100013,40.0,Bengaluru,21.48,743.635,3.2,3.295836866004329,5.0,4.5,0.386,cash,6.46,1,0
100014,29.0,Bengaluru,6.64,147.15,1.0,3.4011973816621555,4.0,4.5,0.222,Cash,6.4,0,0
100015,27.0,Mumbai,7.73,268.2,1.8,2.833213344056216,3.0,3.5,0.046,upi,6.38,0,0
100016,49.0,Hyderabad,2.88,78.23,1.0,2.995732273553991,4.0,4.5,0.313,Cash,6.37,0,0
100017,48.0,Mumbai,9.01,255.25,1.5,3.828641396489095,3.0,4.5,0.147,Credit Card,7.16,0,0
100018,62.0,Mumbai,9.65,234.5,1.0,3.6888794541139363,3.0,4.2,0.262,Cash,7.17,0,0
100019,69.0,Bengaluru,66.24,743.635,1.0,2.772588722239781,4.0,4.8,0.299,Cash,6.31,1,0
100020,46.0,Mumbai,4.52,195.42,2.2,3.258096538021482,4.0,5.0,0.2,UPI,7.51,0,0
100021,42.0,Mumbai,2.5,117.22,1.0,3.367295829986474,3.0,4.5,0.136,upi,5.62,0,0
100022,31.333333333333332,Delhi,11.21,574.08,3.2,2.4849066497880004,4.0,4.0,0.082,Cash,7.12,0,0
100023,19.0,Mumbai,4.86,184.83,1.5,2.8903717578961645,5.0,4.2,0.193,UPI,8.3,0,0
